"SE","tweets","APS","casos","estacao","temp.mean","temp.sd","temp.min","temp.max","umid.mean","umid.sd","umid.min","umid.max"
201226,169,"AP2.2",57,"galeao",21.5742857142857,2.72428571428571,17.7142857142857,26.2857142857143,79.9485714285714,12.8942857142857,55.2857142857143,96.5714285714286
201227,148,"AP2.2",67,"galeao",23.2571428571429,3.86,17.7142857142857,29.4285714285714,71.4571428571429,17.8,38.8571428571429,93.1428571428571
201228,147,"AP2.2",37,"galeao",20.2228571428571,2.15714285714286,17.1428571428571,24,77.3714285714286,12.1942857142857,55.7142857142857,94
201229,94,"AP2.2",29,"galeao",19.5114285714286,1.73285714285714,17.2857142857143,22.5714285714286,80.8228571428571,8.94714285714286,63.1428571428571,92.2857142857143
201230,66,"AP2.2",31,"galeao",22.7714285714286,3.57714285714286,18,29.1428571428571,74.9728571428571,15.9014285714286,43.8571428571429,93.1428571428571
201231,90,"AP2.2",28,"galeao",23.1071428571429,3.06857142857143,18.8571428571429,28.1428571428571,74.5057142857143,15.16,47.8571428571429,94
201232,84,"AP2.2",37,"galeao",21.3014285714286,3.13571428571429,16.5714285714286,26.5714285714286,70.9914285714286,15.4057142857143,42.2857142857143,91.4285714285714
201233,63,"AP2.2",35,"galeao",22.4157142857143,3.23857142857143,17.2857142857143,28,72.1771428571429,14.5028571428571,45.4285714285714,92.2857142857143
201234,56,"AP2.2",16,"galeao",22.4114285714286,3.63142857142857,17.1428571428571,28.2857142857143,67.0557142857143,16.5614285714286,38.8571428571429,89
201235,63,"AP2.2",17,"galeao",20.8971428571429,2.38285714285714,17.5714285714286,25.4285714285714,74.1514285714286,13.33,49.8571428571429,91.4285714285714
201236,53,"AP2.2",12,"galeao",22.2242857142857,3.15428571428571,17.7142857142857,27.4285714285714,69.3628571428571,14.1385714285714,45.1428571428571,89
201237,84,"AP2.2",9,"galeao",24.2114285714286,2.67,20.7142857142857,29,71.2357142857143,12.8542857142857,50,87.4285714285714
201238,69,"AP2.2",8,"galeao",25.75,3.54428571428571,21,32.4285714285714,66.6028571428571,16.0528571428571,36.8571428571429,87.5714285714286
201239,49,"AP2.2",16,"galeao",20.5142857142857,2.65142857142857,16.8571428571429,24.8571428571429,67.7828571428571,13.3057142857143,45.1428571428571,85.8571428571429
201240,52,"AP2.2",8,"galeao",23.8471428571429,3.83428571428571,18.7142857142857,29.5714285714286,63.48,15.0628571428571,41.2857142857143,86.5714285714286
201241,48,"AP2.2",3,"galeao",25.0514285714286,3.20714285714286,20.7142857142857,30.2857142857143,64.8557142857143,14.2085714285714,41.5714285714286,85.5714285714286
